tanggal_realisasi,bus_body_no,rute_realisasi
2025-01-07 00:30:00,KLG4590,D11
2025-01-07 00:26:00,LGS4315-,K22
2025-01-07 00:15:00,KLG1916A,M14
2025-01-07 00:14:00,KLG6647,M14
2025-01-07 00:07:00,NBR7583,B21
2025-01-07 00:07:00,LGS8804_,K22
2025-01-07 00:20:00,KLG5036_B,K22
2025-01-07 00:07:00,NBR486,D11
2025-01-07 00:12:00,LGS5315,D11
2025-01-07 00:17:00,PTK6414_A,K22
2025-01-07 00:31:00,NBR498,C12
2025-01-07 00:17:00,PTK1485B,B21
2025-01-07 00:18:00,BRT7627,F11
2025-01-07 00:01:00,LGS3090-,F11
2025-01-07 00:01:00,NBR5024-B,L13
2025-01-07 00:11:00,TWS1359,K22
2025-01-07 00:22:00,KLG4738_,L13
2025-01-07 00:13:00,NBR4519_A,F11
2025-01-07 00:18:00,PTK7166,C12
2025-01-07 00:04:00,TWS9978_,K22
2025-01-07 00:26:00,KLG1698_B,C12
2025-01-07 00:20:00,PTK7861A,F11
2025-01-07 00:28:00,PTK2145,L13
2025-01-07 00:25:00,LGS2960_,F11
2025-01-07 00:31:00,TWS4778B,C12
2025-01-07 00:03:00,PTK9540B,C12
2025-01-07 00:31:00,LGS5931_,K22
2025-01-07 00:21:00,TWS7375_A,C12
2025-01-07 00:03:00,KLG774B,D11
2025-01-07 00:16:00,KLG1173,C12
2025-01-07 00:15:00,KLG8918B,B21
2025-01-07 00:07:00,PTK2246,F11
2025-01-07 00:09:00,KLG5787B,F11
2025-01-07 00:05:00,KLG5438_A,L13
2025-01-07 00:30:00,KLG8667,F11
2025-01-07 00:14:00,NBR7096,F11
2025-01-07 00:24:00,LGS6243,F11
2025-01-07 00:12:00,LGS8796_,B21
2025-01-07 00:10:00,KLG6699-,L13
2025-01-07 00:30:00,KLG8193-B,L13
2025-01-07 00:23:00,LGS1760B,L13
2025-01-07 00:04:00,BRT6899,B21
2025-01-07 00:04:00,KLG8634B,M14
2025-01-07 00:17:00,KLG2559-A,D11
2025-01-07 00:01:00,NBR1823,K22
2025-01-07 00:14:00,PTK7548,B21
2025-01-07 00:07:00,NBR9368B,B21
2025-01-07 00:15:00,NBR3583_B,C12
2025-01-07 00:09:00,LGS8661_A,M14
2025-01-07 00:15:00,TWS5918,K22
2025-01-07 00:21:00,LGS3788-B,K22
2025-01-07 00:05:00,NBR5444-B,K22
2025-01-07 00:07:00,PTK7353,D11
2025-01-07 00:06:00,BRT2792A,L13
2025-01-07 00:22:00,KLG6858B,C12
2025-01-07 00:10:00,KLG3080,F11
2025-01-07 00:11:00,LGS1820_,K22
2025-01-07 00:24:00,TWS564-A,M14
2025-01-07 00:18:00,KLG1521_,F11
2025-01-07 00:30:00,TWS6484-A,M14
2025-01-07 00:10:00,BRT584-,L13
2025-01-07 00:27:00,LGS3850-,L13
2025-01-07 00:15:00,PTK4094-A,F11
2025-01-07 00:20:00,BRT3205-,C12
2025-01-07 00:04:00,LGS7050,L13
2025-01-07 00:13:00,LGS959-A,M14
2025-01-07 00:01:00,LGS3975_,F11
2025-01-07 00:25:00,TWS3167,L13
2025-01-07 00:02:00,PTK9176_,K22
2025-01-07 00:14:00,LGS5981-,M14
2025-01-07 00:06:00,LGS6386-A,L13
2025-01-07 00:09:00,TWS8882A,C12
2025-01-07 00:02:00,TWS196-B,L13
2025-01-07 00:30:00,PTK7110B,K22
2025-01-07 00:15:00,KLG5420,L13
2025-01-07 00:26:00,PTK9738_B,F11
2025-01-07 00:20:00,KLG5420_,C12
2025-01-07 00:29:00,NBR137B,B21
2025-01-07 00:04:00,KLG8900_,K22
2025-01-07 00:20:00,NBR9121A,M14
2025-01-07 00:08:00,KLG6791A,C12
2025-01-07 00:06:00,BRT7068-,L13
2025-01-07 00:28:00,LGS5991_B,K22
2025-01-07 00:09:00,KLG3512,L13
2025-01-07 00:13:00,LGS2490-,F11
2025-01-07 00:27:00,LGS4205,D11
2025-01-07 00:21:00,TWS8141B,K22
2025-01-07 00:11:00,BRT2043,D11
2025-01-07 00:19:00,LGS655A,M14
2025-01-07 00:06:00,BRT9018-B,D11
2025-01-07 00:02:00,LGS6239-B,B21
2025-01-07 00:23:00,KLG1967,K22
2025-01-07 00:18:00,BRT6396-,B21
2025-01-07 00:24:00,PTK8518B,C12
2025-01-07 00:07:00,LGS2989_B,M14
2025-01-07 00:27:00,PTK2176_A,B21
2025-01-07 00:26:00,PTK4790-,L13
2025-01-07 00:24:00,BRT2087B,M14
2025-01-07 00:19:00,BRT1881,M14
2025-01-07 00:06:00,TWS7258B,L13
2025-01-07 00:30:00,TWS7147_B,C12
2025-01-07 00:30:00,KLG3994,L13
2025-01-07 00:15:00,LGS7045_,K22
2025-01-07 00:26:00,KLG3630,B21
2025-01-07 00:23:00,NBR3648A,F11
2025-01-07 00:31:00,PTK7239,K22
2025-01-07 00:20:00,PTK1654A,K22
2025-01-07 00:16:00,BRT7650B,M14
2025-01-07 00:09:00,TWS7576-,L13
2025-01-07 00:14:00,LGS865,K22
2025-01-07 00:11:00,PTK2662A,B21
2025-01-07 00:14:00,KLG9037_B,C12
2025-01-07 00:12:00,BRT9965_,D11
2025-01-07 00:24:00,PTK1591_A,D11
2025-01-07 00:01:00,BRT5295-,L13
2025-01-07 00:20:00,PTK2086,D11
2025-01-07 00:18:00,NBR7810,K22
2025-01-07 00:05:00,PTK4955_B,F11
2025-01-07 00:05:00,PTK6451,K22
2025-01-07 00:24:00,KLG7803A,K22
2025-01-07 00:12:00,NBR575-,M14
2025-01-07 00:05:00,LGS5359-,B21
2025-01-07 00:22:00,LGS4236-B,D11
2025-01-07 00:28:00,TWS7411_A,D11
2025-01-07 00:01:00,NBR9184-B,L13
2025-01-07 00:31:00,KLG5902-B,D11
2025-01-07 00:27:00,PTK7544,B21
2025-01-07 00:08:00,BRT1564-,C12
2025-01-07 00:06:00,NBR7932,L13
2025-01-07 00:14:00,NBR2669_,D11
2025-01-07 00:10:00,PTK5831,F11
2025-01-07 00:10:00,BRT9009,C12
2025-01-07 00:25:00,TWS3207-B,M14
2025-01-07 00:28:00,PTK2352B,C12
2025-01-07 00:11:00,KLG9977-B,F11
2025-01-07 00:21:00,KLG5022-,M14
2025-01-07 00:24:00,BRT490_A,M14
2025-01-07 00:23:00,PTK5245B,L13
2025-01-07 00:20:00,PTK865-B,F11
2025-01-07 00:03:00,LGS2101_B,M14
2025-01-07 00:25:00,LGS8125,K22
2025-01-07 00:11:00,LGS3422-B,L13
2025-01-07 00:14:00,BRT2719-A,B21
2025-01-07 00:29:00,BRT3296_A,C12
2025-01-07 00:20:00,PTK1765-A,C12
2025-01-07 00:25:00,NBR312-,B21
2025-01-07 00:12:00,NBR7429,F11
2025-01-07 00:14:00,NBR2166A,M14
2025-01-07 00:24:00,NBR3442B,B21
2025-01-07 00:13:00,NBR8422A,D11
2025-01-07 00:03:00,PTK3791B,B21
2025-01-07 00:17:00,LGS1760A,F11
2025-01-07 00:29:00,KLG4367,F11
2025-01-07 00:21:00,BRT5992,C12
2025-01-07 00:14:00,LGS9484B,D11
2025-01-07 00:04:00,PTK183,F11
2025-01-07 00:06:00,PTK3491_,K22
2025-01-07 00:01:00,TWS6563-,F11
2025-01-07 00:08:00,BRT7804-,B21
2025-01-07 00:24:00,LGS1909A,B21
2025-01-07 00:23:00,KLG7948,K22
2025-01-07 00:20:00,KLG576-,B21
2025-01-07 00:01:00,TWS5445-B,D11
2025-01-07 00:04:00,NBR3733A,B21
2025-01-07 00:13:00,NBR3524,M14
2025-01-07 00:31:00,NBR4727-A,F11
2025-01-07 00:30:00,BRT6804-,L13
2025-01-07 00:07:00,LGS4495_,C12
2025-01-07 00:11:00,BRT2290-,L13
2025-01-07 00:04:00,BRT1113,C12
2025-01-07 00:09:00,NBR3668,D11
2025-01-07 00:29:00,BRT3539,K22
2025-01-07 00:09:00,KLG5468-,M14
2025-01-07 00:21:00,KLG3322_,C12
2025-01-07 00:29:00,PTK313A,K22
2025-01-07 00:28:00,LGS2789_,C12
2025-01-07 00:29:00,PTK6830A,K22
2025-01-07 00:18:00,TWS5092_B,M14
2025-01-07 00:21:00,NBR352,F11
2025-01-07 00:03:00,KLG4155B,B21
2025-01-07 00:11:00,LGS4294-B,B21
2025-01-07 00:05:00,TWS5296,M14
2025-01-07 00:12:00,LGS3470-A,C12
2025-01-07 00:16:00,PTK5189_,D11
2025-01-07 00:31:00,LGS4562-,F11
2025-01-07 00:04:00,NBR5888A,M14
2025-01-07 00:01:00,NBR1272A,L13
2025-01-07 00:28:00,NBR1438,C12
2025-01-07 00:20:00,LGS5702_A,D11
2025-01-07 00:26:00,LGS6435,L13
2025-01-07 00:02:00,PTK5547_,M14
2025-01-07 00:18:00,PTK2916-,C12
2025-01-07 00:30:00,LGS1917_B,L13
2025-01-07 00:06:00,LGS6761B,B21
2025-01-07 00:17:00,KLG5217,D11
2025-01-07 00:24:00,NBR9977-B,B21
2025-01-07 00:24:00,TWS1610-B,M14
2025-01-07 00:07:00,LGS196,M14
2025-01-07 00:09:00,NBR8819-,D11
2025-01-07 00:27:00,LGS6029,K22
2025-01-07 00:14:00,PTK4423-,D11
2025-01-07 00:21:00,NBR2669,F11
2025-01-07 00:09:00,NBR8209_,C12
2025-01-07 00:29:00,TWS4173_A,C12
2025-01-07 00:31:00,TWS6983A,K22
2025-01-07 00:28:00,NBR9586,L13
2025-01-07 00:02:00,KLG3102_A,B21
2025-01-07 00:19:00,BRT1661B,C12
2025-01-07 00:30:00,NBR7214A,B21
2025-01-07 00:02:00,PTK5622,D11
2025-01-07 00:09:00,NBR7824-,F11
2025-01-07 00:27:00,PTK6658-B,F11
2025-01-07 00:31:00,BRT6550,B21
2025-01-07 00:15:00,BRT3316_,K22
2025-01-07 00:05:00,KLG8126_A,F11
2025-01-07 00:12:00,LGS2598-,K22
2025-01-07 00:09:00,BRT823-A,C12
2025-01-07 00:18:00,NBR178,K22
2025-01-07 00:02:00,TWS2064_B,L13
2025-01-07 00:12:00,NBR2459,D11
2025-01-07 00:13:00,BRT7923A,L13
2025-01-07 00:28:00,KLG5375B,B21
2025-01-07 00:26:00,KLG8542,C12
2025-01-07 00:23:00,LGS911,B21
2025-01-07 00:21:00,LGS5769,K22
2025-01-07 00:29:00,KLG5388_,L13
2025-01-07 00:27:00,NBR9961,L13
2025-01-07 00:26:00,NBR6997_,F11
2025-01-07 00:23:00,PTK7907_,L13
2025-01-07 00:15:00,PTK9280,F11
2025-01-07 00:25:00,NBR1765-,B21
2025-01-07 00:09:00,LGS7843-,B21
2025-01-07 00:28:00,KLG1586B,B21
2025-01-07 00:28:00,LGS1151A,C12
2025-01-07 00:25:00,LGS2180,K22
2025-01-07 00:08:00,LGS7840A,D11
2025-01-07 00:28:00,LGS762-A,C12
2025-01-07 00:17:00,NBR9064,K22
2025-01-07 00:06:00,LGS8778_,M14
2025-01-07 00:29:00,BRT531-,D11
2025-01-07 00:11:00,BRT3171,K22
2025-01-07 00:22:00,TWS9853,B21
2025-01-07 00:25:00,TWS9648-A,C12
2025-01-07 00:24:00,TWS9194_,L13
2025-01-07 00:31:00,TWS408B,M14
2025-01-07 00:13:00,KLG3253A,B21
2025-01-07 00:08:00,NBR9504-B,L13
2025-01-07 00:25:00,BRT1000_A,F11
2025-01-07 00:06:00,NBR5577-,C12
2025-01-07 00:26:00,KLG9082,D11
2025-01-07 00:14:00,LGS8067,K22
2025-01-07 00:18:00,LGS5372,B21
2025-01-07 00:29:00,KLG2676A,B21
2025-01-07 00:25:00,BRT7850,D11
2025-01-07 00:31:00,PTK5935,K22
2025-01-07 00:25:00,BRT7666_,F11
2025-01-07 00:26:00,BRT9213-,K22
2025-01-07 00:16:00,KLG7272B,L13
2025-01-07 00:12:00,BRT9015,B21
