file_name,product_name,discount_price,original_price,rating,quantity,category
products_page_1.html,Moell Refill Gentle Shampoo 500gr- Sampo Bayi Anak Dengan Calendula Oil - Kulit Kepala Sensitif & Iritasi - Tanpa SLS & Alkohol - Tidak Perih Di Mata - Menumbuhkan & Melebatkan Rambut - Skincare Bayi Newborn - Skincare Anak Formulasi Dokter,Rp94.000,Rp190.000,5.0,500+ terjual,Shampoo
products_page_1.html,Moell Refill Gentle Sabun Mandi Bayi Anak 500gr Kulit Kering dan Sensitif - Tanpa SLS & Alkohol - Kulit Sensitif dan Keiring - Skincare Bayi Formulasi Doker dengan Microbiome Teknologi - Skincare Bayi - Skincare Anak,Rp89.000,Rp180.000,5.0,1rb+ terjual,Soap
products_page_1.html,Moell Body Lotion Bayi Travel Size 80gr - Melembapkan Kulit Badan Anak - Perawatan Kulit Kering dan Sensitif - Pelembap Bayi Anak Daily Use - Sensitif Kering Ruam - Skincare Bayi Formulasi Dokter dengan Microbiome Teknologi - Skincare Anak,Rp37.000,Rp75.000,4.9,750+ terjual,Body Lotion
products_page_1.html,Moell Glow Barrier Kit Body Lotion 185gr & Face Cream 40gr & Physical Sunscreen 30gr & Body Wash 185gr - Skincare Perlindungan Skin Barrier Bayi dan Anak Formulasi Dokter Dengan Microbiome Teknologi - Skincare Anak - Skincare Bayi,Rp260.000,Rp520.000,5.0,4 terjual,Body Lotion
products_page_1.html,DIAPER RASH 50gr & CALMING RUB CREAM 50gr,Rp135.000,Rp270.000,5.0,7 terjual,Calming Rub Cream
products_page_1.html,"Moell Diaper Rash Advanced 50gr - Krim Popok Redakan dan cegah Ruam Popok - Bebas Ruam nyaman seharian - Organic Calendula oil, Zinc Oxide, Postbiotic",Rp70.000,Rp140.000,4.9,500+ terjual,Diaper Cream
products_page_1.html,Moell Triple Daily Care deals! - Body Lotion 185gr & Diaper Rash 50gr & Calming Rub Cream 50gr - Microbiome Teknologi - Krim Popok - Body Lotion Anak - Tidur Berkualitas,Rp200.000,Rp400.000,4.9,4 terjual,Body Lotion
products_page_1.html,Moell Daily Care Combo deals! - Body Lotion 185gr & Diaper Rash 50gr - Krim Popok - Kulit Sensitif - Bebas Ruam - Microbiome Teknologi,Rp135.000,Rp270.000,4.9,100+ terjual,Body Lotion
products_page_1.html,Body Lotion 185gr & Hair Lotion 100gr & Shampoo 185gr & Body Wash 185gr - Skincare Anak Formulasi Dokter Dengan Microbiome Teknologi - Menguatkan Skin Barrier - #Skincareanak,Rp250.000,Rp500.000,4.9,4rb+ terjual,Shampoo
products_page_1.html,Moell Healthy Body Care Body Lotion 185gr  & Body Wash 185gr- Perawatan Kulit Bayi dan Anak - Melindungi dan Memperkuat Skin Barrier - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi & Anak,Rp125.000,Rp250.000,5.0,250+ terjual,Body Lotion
products_page_2.html,Moell Gentle Body Wash 185gr & Shampoo 185gr - 2in1 Baby Bath Sabun & Sampo Bayi Anak Kulit Kering & Sensitif - Dengan Calendula Oil & 10x Hyaluronic Acid - Tanpa SLS/Paraben & Alkohol - Skincare Anak dengan Microbiome Teknologi Diformulasikan Oleh Dokter,Rp123.000,Rp250.000,5.0,2rb+ terjual,Shampoo
products_page_2.html,Moell Paket Nourish Kit - Body Lotion 185gr & Face Cream 40gr & Hair Lotion 100gr - Melembapkan & Menutrisi Kulit Formulasi Dokter Dengan Microbiome Teknologi - Perawatan Rambut dan Badan Anak & Bayi Menumbuhkan Rambut Dalam 7 Hari - Skincare Bayi & Anak,Rp195.000,Rp390.000,4.9,1rb+ terjual,Body Lotion
products_page_2.html,"Moell Soothing and Calming Rub Cream 50gr - Dengan Red Ginger Meredakan Kembung, Kolik- Meningkatkan Kualitas Tidur Anak - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi - Skincare Anak",Rp63.000,Rp130.000,4.9,10rb+ terjual,Calming Rub Cream
products_page_2.html,Moell Gentle Shampoo Bayi Anak 185gr Dengan Calendula Oil - Kulit Kepala Sensitif & Iritasi - Tanpa SLS & Alkohol - Tidak Perih Di Mata - Menumbuhkan & Melebatkan Rambut - Skincare Bayi Newborn - Skincare Anak Formulasi Dokter,Rp64.000,Rp95.000,4.9,50rb+ terjual,Shampoo
products_page_2.html,Moell Gentle Body Wash Bayi Anak 185gr Kulit Kering dan Sensitif - Sabun Mandi Tanpa SLS & Alkohol - Kulit Sensitif dan Kering - Sabun Mandi Bayi Newborn Formulasi Dokter - Skincare Bayi - Skincare Anak,Rp59.000,Rp120.000,4.9,50rb+ terjual,Soap
products_page_2.html,Moell Bundles 2in1 Baby Bath Gentle Body Wash 185gr & Shampoo 185gr - Sabun & Sampo Bayi Anak Kulit Kering & Sensitif - Tanpa SLS/Paraben & Alkohol - Skincare Anak dengan Microbiome Teknologi Diformulasikan Oleh Dokter - Skincare Bayi,Rp123.000,Rp250.000,4.9,10rb+ terjual,Shampoo
products_page_2.html,Moell Triple Combo -Body Lotion 185gr & Physical Sunscreen 30gr & Hair Lotion 100gr -Perlindungan Maksimal Skin Barrier Si Kecil -Physical Sunscreen With SPF 50(+) PA(++++) - Skincare Anak Formulasi Dokter Dengan Microbiome Teknologi - Skincare Anak,Rp190.000,Rp380.000,4.9,4rb+ terjual,Body Lotion
products_page_2.html,Moell Starter Kit- Hair Lotion 100gr & Body Wash 185gr & Shampoo 185gr - Melindungi dan Memperkuat Skin Barrier - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Anak,Rp185.000,Rp370.000,4.9,250+ terjual,Shampoo
products_page_2.html,Moell Face Protection SALE Face Cream 40gr  & Physical Sunscreen 30gr & -Physical Sunscreen With SPF 50(+) PA(++++) - Face Cream With Face Cream With Plant Based Probiotics Organic - Perawatan Wajah Bayi & Anak Formulasi Dokter Dengan Microbiome Teknologi,Rp135.000,Rp270.000,4.9,3rb+ terjual,Face Cream
products_page_2.html,Moell Paket Nourish Kit - Body Lotion 185gr & Face Cream 40gr & Hair Lotion 100gr - Melembapkan & Menutrisi Kulit Anak Formulasi Dokter Dengan Microbiome Teknologi - Perawatan Rambut dan Badan Anak & Bayi - Skincare Bayi - Skincare Anak,Rp195.000,Rp390.000,4.9,2rb+ terjual,Body Lotion
products_page_2.html,"Moell Hair Care - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Panax Ginseng,Kemiri, Biotin - Skincare Bayi - Perawatan Rambut Bayi dan Anak",Rp125.000,Rp250.000,5.0,500+ terjual,Shampoo
products_page_2.html,"Moell Hair Lotion Anak & Bayi 100gr - Menumbuhkan Rambut Dalam 7 Hari - Panax Ginseng, Kemiri, Biotin - Menutrisi Kulit Kepala Rambut Anak - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi - Skincare Anak",Rp110.000,Rp240.000,4.9,10rb+ terjual,Hair Lotion
products_page_2.html,Moell Barrier Protection Body Lotion 185gr & Face Cream 40gr - Body Lotion Kulit Sensitif & Kering - Face Cream With Plant Based Probiotics - Pelembap & Perawatan Kulit Bayi- Skincare Dengan Microbiome Teknologi Formulasi Dokter,Rp135.000,Rp270.000,4.9,1rb+ terjual,Body Lotion
products_page_2.html,Moell Exclusive Gift Package - Paket Skincare Bayi Anak Sabun Sampo Hair Lotion Body Lotion - Gift Package Boneka & Buku Cerita - Skincare Anak - Skincare Bayi - Aman Untuk Kulit Sensitif (eksim),Rp440.000,Rp600.000,5.0,1rb+ terjual,Soap
products_page_2.html,Moell Triple Combo - Body Lotion 185gr & Physical Sunscreen 30gr & Hair Lotion 100gr - Perawatan Kulit & Rambut Bayi Anak - Physical Sunscreen With SPF 50(+) PA(++++) - Skincare Anak Formulasi Dokter Dengan Microbiome Teknologi - Skincare Anak & Bayi,Rp188.000,Rp380.000,4.9,2rb+ terjual,Body Lotion
products_page_2.html,"Moell Hair Lotion 100gr - Hair Lotion Bayi dan Anak - Menumbuhkan Rambut Dalam 7 Hari - Panax Ginseng, Kemiri, Biotin - Menutrisi Kulit Kepala Rambut Anak - Skincare Anak Formulasi Dokter dengan Microbiome Teknologi - Skincare Bayi -Skincare Anak",Rp59.000,Rp120.000,4.9,5rb+ terjual,Hair Lotion
products_page_2.html,"Moell Bundling Hair Care - Hair Lotion 100gr & Shampoo 185gr - Menumbuhkan & Melebatkan Rambut Bayi & Anak - Formulasi Dokter - Panax Ginseng,Kemiri, Biotin - Skincare Bayi Dengan Microbiome Teknologi",Rp125.000,Rp250.000,5.0,250+ terjual,Shampoo
products_page_2.html,"Moell Bundling Hair Lotion 100gr & Physical Sunscreen 30gr  - Hair Lotion Dengan Panax Ginseng, Kemiri, Biotin Menumbuhkan Rambut Dalam 7 Hari - Physical Sunscreen SPF 50(+) PA(++++) - Skincare Formulasi Dokter Dengan Microbiome Teknologi",Rp125.000,Rp250.000,5.0,1rb+ terjual,Sunscreen
products_page_2.html,"Moell Bundling SALE Hair & Skin Combo Body Lotion 185gr & Hair Lotion 100gr - Perawatan Badan & Rambut Bayi Anak Formulasi Dokter - Hair Lotion dengan Panax Ginseng, Candlenut Oil, Biotin - Skincare Anak - Skincare Bayi",Rp125.000,Rp250.000,4.9,3rb+ terjual,Body Lotion
products_page_2.html,"Moell Bundling Hair Lotion 100gr & Physical Sunscreen 30gr  - Hair Lotion Dengan Panax Ginseng, Kemiri, Biotin Menumbuhkan Rambut Dalam 7 Hari - Physical Sunscreen SPF 50(+) PA(++++) - Skincare Formulasi Dokter Dengan Microbiome Teknologi - Skincare Anak",Rp125.000,Rp250.000,4.9,100+ terjual,Sunscreen
products_page_2.html,Moell Shower Kit Body wash 185gr & Shampoo 18gr - NON SLS /PARABEN,Rp125.000,Rp250.000,5.0,30+ terjual,Shampoo
products_page_2.html,Moell Shower Kit - Hair Lotion 100ml & Body Wash 185ml & Shampoo 185ml - Perawatan Mandi Bayi & Anak dengan Calendula Oil- Tanpa SLS & Alkohol,Rp185.000,Rp370.000,4.9,100+ terjual,Shampoo
products_page_2.html,Moell Nourish Kit Body Lotion 185ml & Hair Lotion 100ml & Face Cream 40ml - Perawatan Anak & Bayi,Rp195.000,Rp390.000,4.9,100+ terjual,Body Lotion
products_page_2.html,Moell Bundling Calming Rub Cream 50gr & Body Lotion 185gr - Skincare Baby - Natural Organic,Rp130.000,Rp260.000,5.0,60+ terjual,Body Lotion
